location_name,latitude,longitude,danger_rating,category,description
Banjara Hills Sector 12,17.4180,78.4280,4.2,Chain Snatching,Frequent chain snatching reported near Road No 12
Hitech City Metro Corridor,17.4480,78.3810,3.8,Harassment,Poorly lit stretch under Metro station after 10 PM
Mehdipatnam Bus Junction,17.3980,78.4350,4.5,Unsafe Crowd,High density junction with frequent eve teasing reports
Dilsukhnagar Transit Hub,17.3650,78.5200,4.8,High Theft,Reported pickpocketing and mobile snatching
Gachibowli Outer Ring Road,17.4400,78.3480,3.5,Isolated Stretch,Isolated highway connector with low foot traffic
Secunderabad Station Exit,17.4390,78.4980,4.0,Unsafe Night Area,Late night harassment reports near railway exit
Charminar Old City Corridor,17.3610,78.4740,4.6,Crowded Incident Zone,Narrow unlit alleys with high crime reports
Kukatpally Housing Board,17.4850,78.4130,3.6,Minor Incidents,Reported vehicle theft and harassment
Narsingi Outer Bypass,17.3910,78.3590,3.9,Poor Lighting,Unlit junction stretch near expressway
Sun City Bandlaguda Junction,17.3630,78.3970,3.7,Isolated Area,Low surveillance corridor at night
Ameerpet Metro Station,17.4375,78.4482,4.1,Crowded Unsafe Area,High congestion area with harassment reports
Begumpet Main Road,17.4447,78.4664,3.4,Speeding Hazard,Accident prone stretch at night
Kondapur RTA Junction,17.4618,78.3672,3.8,Poor Street Lighting,Dark stretches near flyover construction
Miyapur Bus Depot,17.4969,78.3614,4.3,Late Night Hazard,Isolated bus shelter area
Tolichowki Flyover,17.4018,78.4131,4.0,Heavy Traffic / Unlit,Under-flyover dark corridors
